Isla de Maipo,PELIGRO_GENERAL,3
Padre Hurtado,POLICIA,39
Padre Hurtado,ACCIDENTE,1
Padre Hurtado,CONGESTION,29
Padre Hurtado,CONVERSACION,4
Padre Hurtado,CALLE_CERRADA,2
Padre Hurtado,PELIGRO_GENERAL,27
Quinta Normal,POLICIA,109
Quinta Normal,ACCIDENTE,8
Quinta Normal,CONGESTION,141
Quinta Normal,CONVERSACION,22
Quinta Normal,CALLE_CERRADA,8
Quinta Normal,PELIGRO_GENERAL,151
Calera de Tango,POLICIA,35
Calera de Tango,ACCIDENTE,2
Calera de Tango,CONGESTION,46
Calera de Tango,CONVERSACION,4
Calera de Tango,PELIGRO_GENERAL,24
Estación Central,POLICIA,266
Estación Central,ACCIDENTE,13
Estación Central,CONGESTION,389
Estación Central,CONVERSACION,119
Estación Central,CALLE_CERRADA,21
Estación Central,PELIGRO_GENERAL,235
San José de Maipo,POLICIA,2
San José de Maipo,PELIGRO_GENERAL,3
Pedro Aguirre Cerda,POLICIA,97
Pedro Aguirre Cerda,ACCIDENTE,3
Pedro Aguirre Cerda,CONGESTION,152
Pedro Aguirre Cerda,CONVERSACION,11
Pedro Aguirre Cerda,PELIGRO_GENERAL,86
